"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","uniqueid","playlist.extracteddate"
0,"1m7Ov4UeE0XYD2P82Qnt8B","Top 50 - Afghanistan","Your daily update of the most played tracks right now - Afghanistan",122,"Spotify","spotify:user:ccyh34kzbzuh19ptcrtle8yfn",100,50,"76e0ef1f7a104eada9798f230d4d7230","2023-04-01"
1,"37i9dQZEVXbMMy2roB9myp","Top 50 - Argentina","Your daily update of the most played tracks right now - Argentina.",1361678,"Spotify","spotify:user:spotify",100,50,"ea7dde054ed840e0afde4d0dbe086776","2023-04-01"
2,"37i9dQZEVXbJPcfkRz0wJ0","Top 50 - Australia","Your daily update of the most played tracks right now - Australia.",817218,"Spotify","spotify:user:spotify",100,50,"25416da88e134742925f000da9122de6","2023-04-01"
3,"37i9dQZEVXbKNHh6NIXu36","Top 50 - Austria","Your daily update of the most played tracks right now - Austria.",118720,"Spotify","spotify:user:spotify",100,50,"4c69ceb03f594971a93bd3dd7cf55f45","2023-04-01"
4,"37i9dQZEVXbJNSeeHswcKB","Top 50 - Belgium","Your daily update of the most played tracks right now - Belgium.",269027,"Spotify","spotify:user:spotify",100,50,"ec8d366d302647beafe05bc6c2e66712","2023-04-01"
5,"37i9dQZEVXbJqfMFK4d691","Top 50 - Bolivia","Your daily update of the most played tracks right now - Bolivia.",95473,"Spotify","spotify:user:spotify",100,50,"7c5c4e7101294f4ebf4dc5b57f2f121d","2023-04-01"
6,"37i9dQZEVXbMXbN3EUUhlg","Top 50 - Brazil","Your daily update of the most played tracks right now - Brazil.",3328410,"Spotify","spotify:user:spotify",100,50,"895c6d470f044891a1c2d5c711869295","2023-04-01"
7,"37i9dQZEVXbKj23U1GF4IR","Top 50 - Canada","Your daily update of the most played tracks right now - Canada.",333212,"Spotify","spotify:user:spotify",100,50,"dee14796cf3345f69d593d6c2bc66ce4","2023-04-01"
8,"37i9dQZEVXbL0GavIqMTeb","Top 50 - Chile","Your daily update of the most played tracks right now - Chile.",533007,"Spotify","spotify:user:spotify",100,50,"623d7ad3507f4846a9c2a61c6e494a4f","2023-04-01"
9,"37i9dQZEVXbOa2lmxNORXQ","Top 50 - Colombia","Your daily update of the most played tracks right now - Colombia.",799834,"Spotify","spotify:user:spotify",100,50,"4525b9269f4a46c5986cbe92978d844f","2023-04-01"
