"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","uniqueid","playlist.extracteddate"
0,"37i9dQZEVXbMMy2roB9myp","Top 50 - Argentina","Your daily update of the most played tracks right now - Argentina.",1277313,"Spotify","spotify:user:spotify",100,50,"4a1c12a13d5940fcafe8210724e84d7b","2022-12-01"
1,"37i9dQZEVXbJPcfkRz0wJ0","Top 50 - Australia","Your daily update of the most played tracks right now - Australia.",809144,"Spotify","spotify:user:spotify",100,50,"82d57320aa12453eac2fd85263d3d160","2022-12-01"
2,"37i9dQZEVXbKNHh6NIXu36","Top 50 - Austria","Your daily update of the most played tracks right now - Austria.",118050,"Spotify","spotify:user:spotify",100,50,"d8247319c5eb464eb1daab13555a7e26","2022-12-01"
3,"37i9dQZEVXbJNSeeHswcKB","Top 50 - Belgium","Your daily update of the most played tracks right now - Belgium.",267989,"Spotify","spotify:user:spotify",100,50,"f686a70c9bdc40e784a1124278ffe57b","2022-12-01"
4,"37i9dQZEVXbJqfMFK4d691","Top 50 - Bolivia","Your daily update of the most played tracks right now - Bolivia.",91933,"Spotify","spotify:user:spotify",100,50,"45af41b907c34c229f58cc2e399769a5","2022-12-01"
5,"37i9dQZEVXbMXbN3EUUhlg","Top 50 - Brazil","Your daily update of the most played tracks right now - Brazil.",3215098,"Spotify","spotify:user:spotify",100,50,"1249420e4f19460ba3c5ea1ca2addc65","2022-12-01"
6,"37i9dQZEVXbKj23U1GF4IR","Top 50 - Canada","Your daily update of the most played tracks right now - Canada.",332453,"Spotify","spotify:user:spotify",100,50,"f2d692c8b889408a9dc0d6d8b53ed6a3","2022-12-01"
7,"37i9dQZEVXbL0GavIqMTeb","Top 50 - Chile","Your daily update of the most played tracks right now - Chile.",507068,"Spotify","spotify:user:spotify",100,50,"f6ac1a66bc804e2ba14fa5221eb2639b","2022-12-01"
8,"37i9dQZEVXbOa2lmxNORXQ","Top 50 - Colombia","Your daily update of the most played tracks right now - Colombia.",775198,"Spotify","spotify:user:spotify",100,50,"e40b4de73b4e475aadcbd4bdeb707960","2022-12-01"
9,"37i9dQZEVXbMZAjGMynsQX","Top 50 - Costa Rica","Your daily update of the most played tracks right now - Costa Rica.",139508,"Spotify","spotify:user:spotify",100,50,"b410c7dfbd17434e9eb9e51f61f205c9","2022-12-01"
10,"37i9dQZEVXbL3J0k32lWnN","Top 50 - Denmark","Your daily update of the most played tracks right now - Denmark.",193420,"Spotify","spotify:user:spotify",100,50,"d1443e77b83240c6a599a71c0cbf3d15","2022-12-01"
11,"37i9dQZEVXbJlM6nvL1nD1","Top 50 - Ecuador","Your daily update of the most played tracks right now - Ecuador.",169509,"Spotify","spotify:user:spotify",100,50,"051f1fb301a5465f8c8865b430db3221","2022-12-01"
12,"37i9dQZEVXbLesry2Qw2xS","Top 50 - Estonia","Your daily update of the most played tracks right now - Estonia.",17004,"Spotify","spotify:user:spotify",100,50,"90135a6f02ca4eafbddccd73a596820d","2022-12-01"
13,"37i9dQZEVXbMxcczTSoGwZ","Top 50 - Finland","Your daily update of the most played tracks right now - Finland.",132280,"Spotify","spotify:user:spotify",100,50,"aa31bf5eef554c37ab9249c77e9d3b77","2022-12-01"
14,"37i9dQZEVXbIPWwFssbupI","Top 50 - France","Your daily update of the most played tracks right now - France.",818709,"Spotify","spotify:user:spotify",100,50,"70f91921942f4268954f95f2f4970922","2022-12-01"
15,"37i9dQZEVXbJiZcmkrIHGU","Top 50 - Germany","Your daily update of the most played tracks right now - Germany.",2131881,"Spotify","spotify:user:spotify",100,50,"12b616ca5ff747c6be42840452ade15d","2022-12-01"
