"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","uniqueid","playlist.extracteddate"
0,"3seAKhZ9QXirBjL9lazOi4","Timeless Zimbabwe","Top Fresh Music updated daily, refreshed every weekend! Trending 2023 Trends Only!",255,"Spotify","spotify:user:31p7pd2zove76npybdfyl5b3gywm",100,451,"848ff43e7adf47f5994f6ae85ca136cb","2023-05-01"
1,"1m7Ov4UeE0XYD2P82Qnt8B","Top 50 - Afghanistan","Your daily update of the most played tracks right now - Afghanistan",140,"Spotify","spotify:user:ccyh34kzbzuh19ptcrtle8yfn",100,50,"cb62f8ed7c944e5fb01dd91a3021ad15","2023-05-01"
2,"37i9dQZEVXbMMy2roB9myp","Top 50 - Argentina","Your daily update of the most played tracks right now - Argentina.",1380073,"Spotify","spotify:user:spotify",100,50,"59f92d0d45fe4823bda11f3cdfd58a59","2023-05-01"
3,"37i9dQZEVXbJPcfkRz0wJ0","Top 50 - Australia","Your daily update of the most played tracks right now - Australia.",818709,"Spotify","spotify:user:spotify",100,50,"1faa2e8d4ad9476daaa07024753d89aa","2023-05-01"
4,"37i9dQZEVXbKNHh6NIXu36","Top 50 - Austria","Your daily update of the most played tracks right now - Austria.",118925,"Spotify","spotify:user:spotify",100,50,"716b71c55bb848028cfae3201a64a1fe","2023-05-01"
5,"37i9dQZEVXbJNSeeHswcKB","Top 50 - Belgium","Your daily update of the most played tracks right now - Belgium.",269549,"Spotify","spotify:user:spotify",100,50,"8e56137aa6cd47f9bf7a1b64fabd7856","2023-05-01"
6,"37i9dQZEVXbJqfMFK4d691","Top 50 - Bolivia","Your daily update of the most played tracks right now - Bolivia.",96566,"Spotify","spotify:user:spotify",100,50,"61d26d1b1f154150a72f6f152199d48f","2023-05-01"
7,"37i9dQZEVXbMXbN3EUUhlg","Top 50 - Brazil","Your daily update of the most played tracks right now - Brazil.",3353011,"Spotify","spotify:user:spotify",100,50,"4d305f8ab36d41088aee4edd6f7344b4","2023-05-01"
8,"37i9dQZEVXbKj23U1GF4IR","Top 50 - Canada","Your daily update of the most played tracks right now - Canada.",333685,"Spotify","spotify:user:spotify",100,50,"1db23ea49ad847459e1949f9ff816035","2023-05-01"
9,"37i9dQZEVXbL0GavIqMTeb","Top 50 - Chile","Your daily update of the most played tracks right now - Chile.",537176,"Spotify","spotify:user:spotify",100,50,"a04fb2563c4d4a0aa91b978cf8b7268a","2023-05-01"
