"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","uniqueid","playlist.extracteddate"
0,"1m7Ov4UeE0XYD2P82Qnt8B","Top 50 - Afghanistan","Your daily update of the most played tracks right now - Afghanistan",98,"Spotify","spotify:user:ccyh34kzbzuh19ptcrtle8yfn",100,50,"669d34936e6540189d07ff197a4ec9eb","2023-02-01"
1,"37i9dQZEVXbMMy2roB9myp","Top 50 - Argentina","Your daily update of the most played tracks right now - Argentina.",1326072,"Spotify","spotify:user:spotify",100,50,"d48a807929b74ccbaadb252dc2c9f62a","2023-02-01"
2,"37i9dQZEVXbJPcfkRz0wJ0","Top 50 - Australia","Your daily update of the most played tracks right now - Australia.",814042,"Spotify","spotify:user:spotify",100,50,"01dc4488ae3c4d9281a54877af36b4e5","2023-02-01"
3,"37i9dQZEVXbKNHh6NIXu36","Top 50 - Austria","Your daily update of the most played tracks right now - Austria.",118357,"Spotify","spotify:user:spotify",100,50,"50e8db3680ce4ecc9c5046c2d2990c62","2023-02-01"
4,"37i9dQZEVXbJNSeeHswcKB","Top 50 - Belgium","Your daily update of the most played tracks right now - Belgium.",268533,"Spotify","spotify:user:spotify",100,50,"cc2dde5afdcf4f8c9f68d87cc89b6985","2023-02-01"
5,"37i9dQZEVXbJqfMFK4d691","Top 50 - Bolivia","Your daily update of the most played tracks right now - Bolivia.",93930,"Spotify","spotify:user:spotify",100,50,"ad7bec4c07da4074955f4ef56184d93c","2023-02-01"
6,"37i9dQZEVXbMXbN3EUUhlg","Top 50 - Brazil","Your daily update of the most played tracks right now - Brazil.",3267902,"Spotify","spotify:user:spotify",100,50,"3bbdd15ede174591be4974acf27b7656","2023-02-01"
7,"37i9dQZEVXbKj23U1GF4IR","Top 50 - Canada","Your daily update of the most played tracks right now - Canada.",332787,"Spotify","spotify:user:spotify",100,50,"d5f07c206311493da42064c94ae49dfd","2023-02-01"
8,"37i9dQZEVXbL0GavIqMTeb","Top 50 - Chile","Your daily update of the most played tracks right now - Chile.",522360,"Spotify","spotify:user:spotify",100,50,"65a1b9efb8dd423f9b13992dc4486b7e","2023-02-01"
9,"37i9dQZEVXbOa2lmxNORXQ","Top 50 - Colombia","Your daily update of the most played tracks right now - Colombia.",789643,"Spotify","spotify:user:spotify",100,50,"cd4525b75e3e411e92c2892be1bbc948","2023-02-01"
10,"37i9dQZEVXbMZAjGMynsQX","Top 50 - Costa Rica","Your daily update of the most played tracks right now - Costa Rica.",141690,"Spotify","spotify:user:spotify",100,50,"a15d229e30694b1b92ea311d9884ae71","2023-02-01"
11,"37i9dQZEVXbL3J0k32lWnN","Top 50 - Denmark","Your daily update of the most played tracks right now - Denmark.",194876,"Spotify","spotify:user:spotify",100,50,"a04c98607bd24a9dbf4130a8407ee261","2023-02-01"
12,"37i9dQZEVXbJlM6nvL1nD1","Top 50 - Ecuador","Your daily update of the most played tracks right now - Ecuador.",172026,"Spotify","spotify:user:spotify",100,50,"0a721945407f42ef9a2b921e7c524949","2023-02-01"
13,"37i9dQZEVXbLesry2Qw2xS","Top 50 - Estonia","Your daily update of the most played tracks right now - Estonia.",17170,"Spotify","spotify:user:spotify",100,50,"c28d650584dc492791fe8ad50e6b26b8","2023-02-01"
14,"37i9dQZEVXbMxcczTSoGwZ","Top 50 - Finland","Your daily update of the most played tracks right now - Finland.",134534,"Spotify","spotify:user:spotify",100,50,"9e0b7649a3734016999bb4b39e86d322","2023-02-01"
15,"37i9dQZEVXbIPWwFssbupI","Top 50 - France","Your daily update of the most played tracks right now - France.",824718,"Spotify","spotify:user:spotify",100,50,"51fefa0ea9d2487896f47a5a17488a90","2023-02-01"
16,"37i9dQZEVXbJiZcmkrIHGU","Top 50 - Germany","Your daily update of the most played tracks right now - Germany.",2135701,"Spotify","spotify:user:spotify",100,50,"a1c564e409dd43eb991212b617d1fcce","2023-02-01"
17,"37i9dQZEVXbMDoHDwVN2tF","Top 50 - Global","Your daily update of the most played tracks right now - Global.",17147307,"Spotify","spotify:user:spotify",100,50,"665d42567a5449cb8e7cda0a44e22464","2023-02-01"
18,"37i9dQZEVXbJqdarpmTJDL","Top 50 - Greece","Your daily update of the most played tracks right now - Greece.",81851,"Spotify","spotify:user:spotify",100,50,"81fc1d43ac494edf873a7423631caf75","2023-02-01"
19,"37i9dQZEVXbLy5tBFyQvd4","Top 50 - Guatemala","Your daily update of the most played tracks right now - Guatemala.",76114,"Spotify","spotify:user:spotify",100,50,"d32ad912596549948e6a88d79520cc24","2023-02-01"
20,"37i9dQZEVXbLwpL8TjsxOG","Top 50 - Hong Kong","Your daily update of the most played tracks right now - Hong Kong.",107563,"Spotify","spotify:user:spotify",100,50,"4046067ee254481eae973e13e50c8ab5","2023-02-01"
21,"37i9dQZEVXbNHwMxAkvmF8","Top 50 - Hungary","Your daily update of the most played tracks right now - Hungary.",69088,"Spotify","spotify:user:spotify",100,50,"f1422e3ce2eb4deaac4448c4a75a0357","2023-02-01"
22,"37i9dQZEVXbKMzVsSGQ49S","Top 50 - Iceland","Your daily update of the most played tracks right now - Iceland.",39942,"Spotify","spotify:user:spotify",100,50,"2f55082d66724e5e8f05cf3f873f0fde","2023-02-01"
23,"37i9dQZEVXbLZ52XmnySJg","Top 50 - India","Your daily update of the most played tracks right now - India.",384631,"Spotify","spotify:user:spotify",100,50,"964eb454946a4dc98e595cd7cbbcd7cf","2023-02-01"
24,"37i9dQZEVXbObFQZ3JLcXt","Top 50 - Indonesia","Your daily update of the most played tracks right now - Indonesia.",638478,"Spotify","spotify:user:spotify",100,50,"bca212e6e4514b9c87cf3a87d58c3531","2023-02-01"
25,"37i9dQZEVXbKM896FDX8L1","Top 50 - Ireland","Your daily update of the most played tracks right now - Ireland.",240927,"Spotify","spotify:user:spotify",100,50,"a360104ca98f4daf81366896cdbb5316","2023-02-01"
26,"37i9dQZEVXbJ6IpvItkve3","Top 50 - Israel","Your daily update of the most played tracks right now - Israel.",50195,"Spotify","spotify:user:spotify",100,50,"08ac877d9a0b4baf850f44cba01da176","2023-02-01"
27,"37i9dQZEVXbIQnj7RRhdSX","Top 50 - Italy","Your daily update of the most played tracks right now - Italy.",1035039,"Spotify","spotify:user:spotify",100,50,"0f3a546e81ae4580be34c620f16b5325","2023-02-01"
28,"37i9dQZEVXbKXQ4mDTEBXq","Top 50 - Japan","Your daily update of the most played tracks right now - Japan.",974453,"Spotify","spotify:user:spotify",100,50,"b3b5927645214371b533a3ba308a16f8","2023-02-01"
29,"37i9dQZEVXbJWuzDrTxbKS","Top 50 - Latvia","Your daily update of the most played tracks right now - Latvia.",14250,"Spotify","spotify:user:spotify",100,50,"ad3b89648f524d7084a3a3010273d909","2023-02-01"
30,"37i9dQZEVXbMx56Rdq5lwc","Top 50 - Lithuania","Your daily update of the most played tracks right now - Lithuania.",25219,"Spotify","spotify:user:spotify",100,50,"8f3dcf5f12e24efb88bf315cf608aee2","2023-02-01"
31,"37i9dQZEVXbKGcyg6TFGx6","Top 50 - Luxembourg","Your daily update of the most played tracks right now - Luxembourg.",7485,"Spotify","spotify:user:spotify",100,48,"97956db4aec5446da2ddfc8c72289769","2023-02-01"
