"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","uniqueid","playlist.extracteddate"
0,"1m7Ov4UeE0XYD2P82Qnt8B","Top 50 - Afghanistan","Your daily update of the most played tracks right now - Afghanistan",86,"Spotify","spotify:user:ccyh34kzbzuh19ptcrtle8yfn",100,50,"0529499dc74b410d9f34d2f4389bc606","2023-01-01"
1,"37i9dQZEVXbMMy2roB9myp","Top 50 - Argentina","Your daily update of the most played tracks right now - Argentina.",1297283,"Spotify","spotify:user:spotify",100,50,"ba32759227d8447ca4b492a533f523b2","2023-01-01"
2,"37i9dQZEVXbJPcfkRz0wJ0","Top 50 - Australia","Your daily update of the most played tracks right now - Australia.",811183,"Spotify","spotify:user:spotify",100,50,"89199af792f44664b0d3b68c9f216799","2023-01-01"
3,"37i9dQZEVXbKNHh6NIXu36","Top 50 - Austria","Your daily update of the most played tracks right now - Austria.",118148,"Spotify","spotify:user:spotify",100,50,"b2bc93a5f0294233ab466c10a16b02f5","2023-01-01"
4,"37i9dQZEVXbJNSeeHswcKB","Top 50 - Belgium","Your daily update of the most played tracks right now - Belgium.",268216,"Spotify","spotify:user:spotify",100,50,"93cb927ed77541cab7e37d8837f39812","2023-01-01"
5,"37i9dQZEVXbJqfMFK4d691","Top 50 - Bolivia","Your daily update of the most played tracks right now - Bolivia.",92839,"Spotify","spotify:user:spotify",100,50,"1cfd1e5e296b42fc9ed561a5078948a7","2023-01-01"
6,"37i9dQZEVXbMXbN3EUUhlg","Top 50 - Brazil","Your daily update of the most played tracks right now - Brazil.",3241427,"Spotify","spotify:user:spotify",100,50,"ed694d6ea098466f80b09413137a0011","2023-01-01"
7,"37i9dQZEVXbKj23U1GF4IR","Top 50 - Canada","Your daily update of the most played tracks right now - Canada.",332468,"Spotify","spotify:user:spotify",100,50,"90bc3db48c254a4eac8b8f013caf8296","2023-01-01"
8,"37i9dQZEVXbL0GavIqMTeb","Top 50 - Chile","Your daily update of the most played tracks right now - Chile.",514026,"Spotify","spotify:user:spotify",100,50,"f90c6498607a4ebca526308417e06656","2023-01-01"
9,"37i9dQZEVXbOa2lmxNORXQ","Top 50 - Colombia","Your daily update of the most played tracks right now - Colombia.",782054,"Spotify","spotify:user:spotify",100,50,"9230a8a02e9d40f28705a3a73e0afb93","2023-01-01"
10,"37i9dQZEVXbMZAjGMynsQX","Top 50 - Costa Rica","Your daily update of the most played tracks right now - Costa Rica.",140604,"Spotify","spotify:user:spotify",100,50,"61029ecbe22f439997cab7a6768c47e9","2023-01-01"
11,"37i9dQZEVXbL3J0k32lWnN","Top 50 - Denmark","Your daily update of the most played tracks right now - Denmark.",193979,"Spotify","spotify:user:spotify",100,50,"08aa0ebeb1cf4ed98c7f6b6495b9026b","2023-01-01"
12,"37i9dQZEVXbJlM6nvL1nD1","Top 50 - Ecuador","Your daily update of the most played tracks right now - Ecuador.",170762,"Spotify","spotify:user:spotify",100,50,"d2c63bc0fa464d3b8ab212ca349e0635","2023-01-01"
13,"37i9dQZEVXbLesry2Qw2xS","Top 50 - Estonia","Your daily update of the most played tracks right now - Estonia.",17073,"Spotify","spotify:user:spotify",100,50,"8e6e9f9b9063429b8b38f5ccebb54440","2023-01-01"
14,"37i9dQZEVXbMxcczTSoGwZ","Top 50 - Finland","Your daily update of the most played tracks right now - Finland.",133246,"Spotify","spotify:user:spotify",100,50,"ffdad751d5884f93a8ee78a5197fd03b","2023-01-01"
15,"37i9dQZEVXbIPWwFssbupI","Top 50 - France","Your daily update of the most played tracks right now - France.",821986,"Spotify","spotify:user:spotify",100,50,"ce02b009e35949d2b47c0cf999b4291f","2023-01-01"
16,"37i9dQZEVXbJiZcmkrIHGU","Top 50 - Germany","Your daily update of the most played tracks right now - Germany.",2132224,"Spotify","spotify:user:spotify",100,50,"161ab83193714880a18b47a850bc90dc","2023-01-01"
17,"37i9dQZEVXbMDoHDwVN2tF","Top 50 - Global","Your daily update of the most played tracks right now - Global.",17065882,"Spotify","spotify:user:spotify",100,50,"ea2f6ddae3344a7199ff8b3f2e3c7618","2023-01-01"
18,"37i9dQZEVXbJqdarpmTJDL","Top 50 - Greece","Your daily update of the most played tracks right now - Greece.",81141,"Spotify","spotify:user:spotify",100,50,"60f87ba8ed794ffa9cb273bdff801e7d","2023-01-01"
19,"37i9dQZEVXbLy5tBFyQvd4","Top 50 - Guatemala","Your daily update of the most played tracks right now - Guatemala.",75477,"Spotify","spotify:user:spotify",100,50,"40cbba6f1ccf46bcaf63154920d94616","2023-01-01"
20,"37i9dQZEVXbLwpL8TjsxOG","Top 50 - Hong Kong","Your daily update of the most played tracks right now - Hong Kong.",106339,"Spotify","spotify:user:spotify",100,50,"c2e5f037cd444a2f9aebee911e307cd7","2023-01-01"
21,"37i9dQZEVXbNHwMxAkvmF8","Top 50 - Hungary","Your daily update of the most played tracks right now - Hungary.",68850,"Spotify","spotify:user:spotify",100,50,"5dc980808f8542b89e7f5d151a006705","2023-01-01"
