"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","uniqueid","playlist.extracteddate"
0,"3seAKhZ9QXirBjL9lazOi4","Timeless Zimbabwe","Top Fresh Music updated daily, refreshed every weekend! Trending 2023 Trends Only!",256,"Spotify with Lewin Muz","spotify:user:31p7pd2zove76npybdfyl5b3gywm",100,463,"1e7a994c84de4302b68ba57c602f85f5","2023-07-01"
1,"1m7Ov4UeE0XYD2P82Qnt8B","Top 50 - Afghanistan","Your daily update of the most played tracks right now - Afghanistan",170,"Spotify","spotify:user:ccyh34kzbzuh19ptcrtle8yfn",100,50,"7ff8ed94c03b40dc839fadaf8b272114","2023-07-01"
2,"37i9dQZEVXbMMy2roB9myp","Top 50 - Argentina","Your daily update of the most played tracks right now - Argentina.",1417086,"Spotify","spotify:user:spotify",100,50,"28560d3d240e481fb61194e90f5f2fdf","2023-07-01"
3,"37i9dQZEVXbJPcfkRz0wJ0","Top 50 - Australia","Your daily update of the most played tracks right now - Australia.",821266,"Spotify","spotify:user:spotify",100,50,"3bc3b6becb1c4f6d84d0fb7a4bc0c6be","2023-07-01"
4,"37i9dQZEVXbKNHh6NIXu36","Top 50 - Austria","Your daily update of the most played tracks right now - Austria.",119396,"Spotify","spotify:user:spotify",100,50,"d4549e3a9d404273a1ab7261869e1f04","2023-07-01"
5,"37i9dQZEVXbJNSeeHswcKB","Top 50 - Belgium","Your daily update of the most played tracks right now - Belgium.",270554,"Spotify","spotify:user:spotify",100,50,"528741fe55a441a6bc8665cb45fe3aae","2023-07-01"
6,"37i9dQZEVXbJqfMFK4d691","Top 50 - Bolivia","Your daily update of the most played tracks right now - Bolivia.",98851,"Spotify","spotify:user:spotify",100,50,"a81314d5f4a243e5b7eebc339c018285","2023-07-01"
7,"37i9dQZEVXbMXbN3EUUhlg","Top 50 - Brazil","Your daily update of the most played tracks right now - Brazil.",3394840,"Spotify","spotify:user:spotify",100,50,"1f43d9b21e8c4cd9b3501cf16819b257","2023-07-01"
8,"37i9dQZEVXbKj23U1GF4IR","Top 50 - Canada","Your daily update of the most played tracks right now - Canada.",334886,"Spotify","spotify:user:spotify",100,50,"8a09f3a2acde422baeb08de59d74768e","2023-07-01"
9,"37i9dQZEVXbL0GavIqMTeb","Top 50 - Chile","Your daily update of the most played tracks right now - Chile.",545418,"Spotify","spotify:user:spotify",100,50,"2cd56dda4f7e40959fdb3cc21c1ae693","2023-07-01"
10,"37i9dQZEVXbOa2lmxNORXQ","Top 50 - Colombia","Your daily update of the most played tracks right now - Colombia.",816095,"Spotify","spotify:user:spotify",100,50,"85839f87996b4f69b398c5876901d72e","2023-07-01"
11,"37i9dQZEVXbMZAjGMynsQX","Top 50 - Costa Rica","Your daily update of the most played tracks right now - Costa Rica.",145514,"Spotify","spotify:user:spotify",100,50,"f5c8d7a958704ac4baabef07311116de","2023-07-01"
12,"37i9dQZEVXbL3J0k32lWnN","Top 50 - Denmark","Your daily update of the most played tracks right now - Denmark.",199741,"Spotify","spotify:user:spotify",100,50,"f009270896544454819f0c7548d9bfe9","2023-07-01"
13,"37i9dQZEVXbJlM6nvL1nD1","Top 50 - Ecuador","Your daily update of the most played tracks right now - Ecuador.",177694,"Spotify","spotify:user:spotify",100,50,"9353ec58e39c4a0099218729ecf65f04","2023-07-01"
14,"37i9dQZEVXbLesry2Qw2xS","Top 50 - Estonia","Your daily update of the most played tracks right now - Estonia.",17795,"Spotify","spotify:user:spotify",100,50,"b712d0bdd50c42b4a90387cf03732035","2023-07-01"
15,"37i9dQZEVXbMxcczTSoGwZ","Top 50 - Finland","Your daily update of the most played tracks right now - Finland.",141060,"Spotify","spotify:user:spotify",100,50,"5abc13612aed45d6ab5b750b7b6d53f8","2023-07-01"
16,"37i9dQZEVXbIPWwFssbupI","Top 50 - France","Your daily update of the most played tracks right now - France.",837992,"Spotify","spotify:user:spotify",100,50,"34b80adaaec54cefb7f33a0e3ef75fb5","2023-07-01"
17,"37i9dQZEVXbJiZcmkrIHGU","Top 50 - Germany","Your daily update of the most played tracks right now - Germany.",2157291,"Spotify","spotify:user:spotify",100,50,"c5a8540b9cb3476ba17731b65730f476","2023-07-01"
18,"37i9dQZEVXbMDoHDwVN2tF","Top 50 - Global","Your daily update of the most played tracks right now - Global.",17390997,"Spotify","spotify:user:spotify",100,50,"44bdc27ca5554dc186efaaf865621562","2023-07-01"
19,"37i9dQZEVXbJqdarpmTJDL","Top 50 - Greece","Your daily update of the most played tracks right now - Greece.",87854,"Spotify","spotify:user:spotify",100,50,"dc32e16d9cc049c2bcc2e87fef151559","2023-07-01"
20,"37i9dQZEVXbLy5tBFyQvd4","Top 50 - Guatemala","Your daily update of the most played tracks right now - Guatemala.",79079,"Spotify","spotify:user:spotify",100,50,"2bfc8646137b412a85d4d30fbbd00799","2023-07-01"
21,"37i9dQZEVXbLwpL8TjsxOG","Top 50 - Hong Kong","Your daily update of the most played tracks right now - Hong Kong.",110607,"Spotify","spotify:user:spotify",100,50,"1539da5058e14c5088d4b8d3d56c84a2","2023-07-01"
22,"37i9dQZEVXbNHwMxAkvmF8","Top 50 - Hungary","Your daily update of the most played tracks right now - Hungary.",70264,"Spotify","spotify:user:spotify",100,50,"632666018de34f63b8de5511a917d0ac","2023-07-01"
23,"37i9dQZEVXbKMzVsSGQ49S","Top 50 - Iceland","Your daily update of the most played tracks right now - Iceland.",40679,"Spotify","spotify:user:spotify",100,50,"04331580c8c44db888dccaeb3c0bb0fc","2023-07-01"
24,"37i9dQZEVXbLZ52XmnySJg","Top 50 - India","Your daily update of the most played tracks right now - India.",429486,"Spotify","spotify:user:spotify",100,50,"a551250b3d1441f7bdc4726b01ab3d0e","2023-07-01"
25,"37i9dQZEVXbObFQZ3JLcXt","Top 50 - Indonesia","Your daily update of the most played tracks right now - Indonesia.",688068,"Spotify","spotify:user:spotify",100,50,"65044ec04ccd479896e420aa7f0498e6","2023-07-01"
26,"37i9dQZEVXbKM896FDX8L1","Top 50 - Ireland","Your daily update of the most played tracks right now - Ireland.",243510,"Spotify","spotify:user:spotify",100,50,"bc1ac89afdf14cb287be3ba8db490e7f","2023-07-01"
27,"37i9dQZEVXbJ6IpvItkve3","Top 50 - Israel","Your daily update of the most played tracks right now - Israel.",53029,"Spotify","spotify:user:spotify",100,50,"bb8434b151da459383672734769800af","2023-07-01"
28,"37i9dQZEVXbIQnj7RRhdSX","Top 50 - Italy","Your daily update of the most played tracks right now - Italy.",1058843,"Spotify","spotify:user:spotify",100,50,"991c486f355c4ac59d45dde509594b1e","2023-07-01"
29,"37i9dQZEVXbKXQ4mDTEBXq","Top 50 - Japan","Your daily update of the most played tracks right now - Japan.",1050279,"Spotify","spotify:user:spotify",100,50,"7ecb6fc959c04a3faec65deca3c32260","2023-07-01"
30,"37i9dQZEVXbJWuzDrTxbKS","Top 50 - Latvia","Your daily update of the most played tracks right now - Latvia.",14609,"Spotify","spotify:user:spotify",100,50,"83fd39f5962d4efbafa318f547fc039f","2023-07-01"
31,"37i9dQZEVXbMx56Rdq5lwc","Top 50 - Lithuania","Your daily update of the most played tracks right now - Lithuania.",26236,"Spotify","spotify:user:spotify",100,50,"838b05af98dd41b487e0e70da939a559","2023-07-01"
32,"37i9dQZEVXbKGcyg6TFGx6","Top 50 - Luxembourg","Your daily update of the most played tracks right now - Luxembourg.",7851,"Spotify","spotify:user:spotify",100,50,"91f8f79854aa494b9ac68e1390348f8b","2023-07-01"
33,"37i9dQZEVXbJlfUljuZExa","Top 50 - Malaysia","Your daily update of the most played tracks right now - Malaysia.",209317,"Spotify","spotify:user:spotify",100,50,"7ee9ecc148ab4775ba6f1d06a1d7e937","2023-07-01"
34,"37i9dQZEVXbO3qyFxbkOE1","Top 50 - Mexico","Your daily update of the most played tracks right now - Mexico.",1709086,"Spotify","spotify:user:spotify",100,50,"0378d98ad0c748f3847f071fcd3460bf","2023-07-01"
35,"37i9dQZEVXbJU9eQpX8gPT","Top 50 - Morocco","Your daily update of the most played tracks right now - Morocco.",37492,"Spotify","spotify:user:spotify",100,50,"170fe062655f40949db930b9fc1aad51","2023-07-01"
36,"37i9dQZEVXbKCF6dqVpDkS","Top 50 - Netherlands","Your daily update of the most played tracks right now - Netherlands.",914537,"Spotify","spotify:user:spotify",100,50,"b29b8964e1d845dd81f7fb996b4b9e9f","2023-07-01"
37,"37i9dQZEVXbM8SIrkERIYl","Top 50 - New Zealand","Your daily update of the most played tracks right now - New Zealand.",213595,"Spotify","spotify:user:spotify",100,50,"c686924466c642dabbfcf745c9ed1ff2","2023-07-01"
38,"37i9dQZEVXbISk8kxnzfCq","Top 50 - Nicaragua","Your daily update of the most played tracks right now - Nicaragua.",16917,"Spotify","spotify:user:spotify",100,50,"5b39938439da45de9f378700d08b71d0","2023-07-01"
39,"37i9dQZEVXbJvfa0Yxg7E7","Top 50 - Norway","Your daily update of the most played tracks right now - Norway.",537090,"Spotify","spotify:user:spotify",100,50,"83e3ac5e42d4485c8be54908420fecda","2023-07-01"
40,"37i9dQZEVXbKypXHVwk1f0","Top 50 - Panama","Your daily update of the most played tracks right now - Panama.",96195,"Spotify","spotify:user:spotify",100,50,"99578dd940384dde99e5a3eb4989ed0d","2023-07-01"
41,"37i9dQZEVXbJfdy5b0KP7W","Top 50 - Peru","Your daily update of the most played tracks right now - Peru.",464187,"Spotify","spotify:user:spotify",100,50,"7ddf6238e39f4b0681d1ac2fe1335f66","2023-07-01"
42,"37i9dQZEVXbNBz9cRCSFkY","Top 50 - Philippines","Your daily update of the most played tracks right now - Philippines.",1276488,"Spotify","spotify:user:spotify",100,50,"3ff674a6150a44b080755789d8a93aaa","2023-07-01"
43,"37i9dQZEVXbKyJS56d1pgi","Top 50 - Portugal","Your daily update of the most played tracks right now - Portugal.",206819,"Spotify","spotify:user:spotify",100,50,"2e2ef2aa97254e3fa611e00fee80fb29","2023-07-01"
44,"37i9dQZEVXbNZbJ6TZelCq","Top 50 - Romania","Your daily update of the most played tracks right now - Romania.",30254,"Spotify","spotify:user:spotify",100,50,"58f614c269054387a84b6ac921a71941","2023-07-01"
45,"37i9dQZEVXbLrQBcXqUtaC","Top 50 - Saudi Arabia","Your daily update of the most played tracks right now - Saudi Arabia.",6844,"Spotify","spotify:user:spotify",100,50,"6920ad592ee043bbbd4e8f6285ed15c9","2023-07-01"
46,"37i9dQZEVXbK4gjvS1FjPY","Top 50 - Singapore","Your daily update of the most played tracks right now - Singapore.",133511,"Spotify","spotify:user:spotify",100,50,"5a0f721190404c539178aa0874c2880a","2023-07-01"
47,"37i9dQZEVXbKIVTPX9a2Sb","Top 50 - Slovakia","Your daily update of the most played tracks right now - Slovakia.",20826,"Spotify","spotify:user:spotify",100,50,"feaba278c8bb4a6b8023420a4acbe490","2023-07-01"
48,"37i9dQZEVXbMH2jvi6jvjk","Top 50 - South Africa","Your daily update of the most played tracks right now - South Africa.",35810,"Spotify","spotify:user:spotify",100,50,"b12a316068924b468d4b0e3dbdf047ef","2023-07-01"
49,"37i9dQZEVXbNxXF4SkHj9F","Top 50 - South Korea","Your daily update of the most played tracks right now - South Korea.",91892,"Spotify","spotify:user:spotify",100,50,"be6b1416c1eb4028a6d405456a65915e","2023-07-01"
50,"37i9dQZEVXbNFJfN1Vw8d9","Top 50 - Spain","Your daily update of the most played tracks right now - Spain.",1574201,"Spotify","spotify:user:spotify",100,50,"27ba70e6773a4db7a0409b0a71dd4ce8","2023-07-01"
51,"6zFJ2HTXC3d38AgpfcPGph","Top 50 - Suriname","Your weekly update of the most played tracks right now - Suriname. May 5, 2023 ● 5 New Entries",318,"Spotify","spotify:user:by1zq46ly1v79bl16d296hy41",100,26,"ebe14c6f88dd4895ba1cdf8639db5f3a","2023-07-01"
52,"37i9dQZEVXbLoATJ81JYXz","Top 50 - Sweden","Your daily update of the most played tracks right now - Sweden.",612176,"Spotify","spotify:user:spotify",100,50,"223f1fb1e7e84e618aa6ef3e324ae3ef","2023-07-01"
53,"37i9dQZEVXbJiyhoAPEfMK","Top 50 - Switzerland","Your daily update of the most played tracks right now - Switzerland.",121819,"Spotify","spotify:user:spotify",100,50,"f2f6668d8d01409eb279397ce26ac9f7","2023-07-01"
54,"37i9dQZEVXbMnZEatlMSiu","Top 50 - Taiwan","Your daily update of the most played tracks right now - Taiwan.",208781,"Spotify","spotify:user:spotify",100,50,"47f5d50ea6c94a15b5b0cbed0ef3655a","2023-07-01"
55,"37i9dQZEVXbMnz8KIWsvf9","Top 50 - Thailand","Your daily update of the most played tracks right now - Thailand.",148949,"Spotify","spotify:user:spotify",100,50,"2da5faf0611d475683239fa268bff5ad","2023-07-01"
56,"37i9dQZEVXbIVYVBNw9D5K","Top 50 - Turkey","Your daily update of the most played tracks right now - Turkey.",810419,"Spotify","spotify:user:spotify",100,50,"600443a7621046ab8f0844046447220b","2023-07-01"
57,"37i9dQZEVXbM4UZuIrvHvA","Top 50 - UAE","Your daily update of the most played tracks right now - UAE.",3491,"Spotify","spotify:user:spotify",100,50,"36c2961345984702996ef7af75641e80","2023-07-01"
58,"37i9dQZEVXbLRQDuF5jeBp","Top 50 - USA","Your daily update of the most played tracks right now - USA.",3436542,"Spotify","spotify:user:spotify",100,50,"7457aa48aa694b79acb252481359e735","2023-07-01"
59,"37i9dQZEVXbKkidEfWYRuD","Top 50 - Ukraine","Your daily update of the most played tracks right now - Ukraine.",25043,"Spotify","spotify:user:spotify",100,50,"ef27431d1c5948ec83aed363510cfc45","2023-07-01"
60,"37i9dQZEVXbLnolsZ8PSNw","Top 50 - United Kingdom","Your daily update of the most played tracks right now - United Kingdom.",2191743,"Spotify","spotify:user:spotify",100,50,"deeef06602154834baa65220581cb4f7","2023-07-01"
61,"37i9dQZEVXbMJJi3wgRbAy","Top 50 - Uruguay","Your daily update of the most played tracks right now - Uruguay.",111377,"Spotify","spotify:user:spotify",100,50,"7d2c66eb474e4aec99f32dfc9f279946","2023-07-01"
62,"37i9dQZEVXbLdGSmz6xilI","Top 50 - Vietnam","Your daily update of the most played tracks right now - Vietnam.",83303,"Spotify","spotify:user:spotify",100,50,"43876ba3c24b4da891d05d0d66b9f32c","2023-07-01"
63,"5atgcoJ9pDa39CzCYdXkRi","Top 50 Polska","Twoja codzienna dawka aktualnie najpopularniejszych utworów w Polsce.",761,"Spotify","spotify:user:2156hfddk45dmqcy372ryrvzi",100,50,"ef0a501d02314b938247d0782857a827","2023-07-01"
64,"3seAKhZ9QXirBjL9lazOi4","Timeless Zimbabwe","Top Fresh Music updated daily, refreshed every weekend! Trending 2023 Trends Only!",257,"Spotify with Lewin Muz","spotify:user:31p7pd2zove76npybdfyl5b3gywm",100,463,"00c6d85dc3cb40bd9ece2fde5b15571c","2023-07-02"
