"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","uniqueid","playlist.extracteddate"
0,"1m7Ov4UeE0XYD2P82Qnt8B","Top 50 - Afghanistan","Your daily update of the most played tracks right now - Afghanistan",109,"Spotify","spotify:user:ccyh34kzbzuh19ptcrtle8yfn",100,50,"d75afa4b4c494656af1a629d78d1e086","2023-03-01"
1,"37i9dQZEVXbMMy2roB9myp","Top 50 - Argentina","Your daily update of the most played tracks right now - Argentina.",1345254,"Spotify","spotify:user:spotify",100,50,"e6eea82bfae74d1194cff049794a7f5b","2023-03-01"
2,"37i9dQZEVXbJPcfkRz0wJ0","Top 50 - Australia","Your daily update of the most played tracks right now - Australia.",815699,"Spotify","spotify:user:spotify",100,50,"332e748ca8a2412cb755a9e4a084312e","2023-03-01"
3,"37i9dQZEVXbKNHh6NIXu36","Top 50 - Austria","Your daily update of the most played tracks right now - Austria.",118568,"Spotify","spotify:user:spotify",100,50,"b700486ab2fd4009b7539f706f6bd80d","2023-03-01"
4,"37i9dQZEVXbJNSeeHswcKB","Top 50 - Belgium","Your daily update of the most played tracks right now - Belgium.",268795,"Spotify","spotify:user:spotify",100,50,"2a6bf95874de4d5ba8affdf17d880cdc","2023-03-01"
5,"37i9dQZEVXbJqfMFK4d691","Top 50 - Bolivia","Your daily update of the most played tracks right now - Bolivia.",94760,"Spotify","spotify:user:spotify",100,50,"e40a186d20624d5ebbda11728a1bb24f","2023-03-01"
6,"37i9dQZEVXbMXbN3EUUhlg","Top 50 - Brazil","Your daily update of the most played tracks right now - Brazil.",3301864,"Spotify","spotify:user:spotify",100,50,"0878a5fac2ae4d94948aa7fd34a6b9df","2023-03-01"
7,"37i9dQZEVXbKj23U1GF4IR","Top 50 - Canada","Your daily update of the most played tracks right now - Canada.",333068,"Spotify","spotify:user:spotify",100,50,"42d15b62cf3947d8bebdeba39ff5ff42","2023-03-01"
8,"37i9dQZEVXbL0GavIqMTeb","Top 50 - Chile","Your daily update of the most played tracks right now - Chile.",528869,"Spotify","spotify:user:spotify",100,50,"207552b7ec1249c9a5e8879bf5dc7f1a","2023-03-01"
9,"37i9dQZEVXbOa2lmxNORXQ","Top 50 - Colombia","Your daily update of the most played tracks right now - Colombia.",794672,"Spotify","spotify:user:spotify",100,50,"0e97db754c43406b847dc2b62ab8f845","2023-03-01"
10,"37i9dQZEVXbMZAjGMynsQX","Top 50 - Costa Rica","Your daily update of the most played tracks right now - Costa Rica.",142364,"Spotify","spotify:user:spotify",100,50,"13c8ce56f5614272abd8211ec2235667","2023-03-01"
11,"37i9dQZEVXbL3J0k32lWnN","Top 50 - Denmark","Your daily update of the most played tracks right now - Denmark.",195610,"Spotify","spotify:user:spotify",100,50,"9c45ccb04f9b43ca896914fade0ff64c","2023-03-01"
12,"37i9dQZEVXbJlM6nvL1nD1","Top 50 - Ecuador","Your daily update of the most played tracks right now - Ecuador.",173065,"Spotify","spotify:user:spotify",100,50,"76bf8ab71242424c89ee9fbfdf3bfe4e","2023-03-01"
13,"37i9dQZEVXbLesry2Qw2xS","Top 50 - Estonia","Your daily update of the most played tracks right now - Estonia.",17256,"Spotify","spotify:user:spotify",100,50,"612edad7e78541d39bff01ffbc866127","2023-03-01"
14,"37i9dQZEVXbMxcczTSoGwZ","Top 50 - Finland","Your daily update of the most played tracks right now - Finland.",135708,"Spotify","spotify:user:spotify",100,50,"37300bccffea49e0bab6cf80d65b1e99","2023-03-01"
15,"37i9dQZEVXbIPWwFssbupI","Top 50 - France","Your daily update of the most played tracks right now - France.",826540,"Spotify","spotify:user:spotify",100,50,"4dec658a808742f3b4b93f98a8989ca7","2023-03-01"
16,"37i9dQZEVXbJiZcmkrIHGU","Top 50 - Germany","Your daily update of the most played tracks right now - Germany.",2139216,"Spotify","spotify:user:spotify",100,50,"3e7fad286e0b4d20a4a74371bfda3005","2023-03-01"
17,"37i9dQZEVXbMDoHDwVN2tF","Top 50 - Global","Your daily update of the most played tracks right now - Global.",17192794,"Spotify","spotify:user:spotify",100,50,"b30ef9489a0849ad933710da27f7d2f8","2023-03-01"
18,"37i9dQZEVXbJqdarpmTJDL","Top 50 - Greece","Your daily update of the most played tracks right now - Greece.",82879,"Spotify","spotify:user:spotify",100,50,"b0a23f7adb0340f982b8e1e8035e1401","2023-03-01"
19,"37i9dQZEVXbLy5tBFyQvd4","Top 50 - Guatemala","Your daily update of the most played tracks right now - Guatemala.",76501,"Spotify","spotify:user:spotify",100,50,"e05c48f0391f4798bd117ea940e86967","2023-03-01"
20,"37i9dQZEVXbLwpL8TjsxOG","Top 50 - Hong Kong","Your daily update of the most played tracks right now - Hong Kong.",108274,"Spotify","spotify:user:spotify",100,50,"181d5971ee7f4637ba297592b8a62da1","2023-03-01"
21,"37i9dQZEVXbNHwMxAkvmF8","Top 50 - Hungary","Your daily update of the most played tracks right now - Hungary.",69289,"Spotify","spotify:user:spotify",100,50,"3d683fae0c4540108f6146b3d83d280a","2023-03-01"
22,"37i9dQZEVXbKMzVsSGQ49S","Top 50 - Iceland","Your daily update of the most played tracks right now - Iceland.",40014,"Spotify","spotify:user:spotify",100,50,"ec73f37fc2084a10ae52efda9a7ed6f0","2023-03-01"
23,"37i9dQZEVXbLZ52XmnySJg","Top 50 - India","Your daily update of the most played tracks right now - India.",393224,"Spotify","spotify:user:spotify",100,50,"6a8c10a32ff4482c9202eea56e718fc0","2023-03-01"
24,"37i9dQZEVXbObFQZ3JLcXt","Top 50 - Indonesia","Your daily update of the most played tracks right now - Indonesia.",645384,"Spotify","spotify:user:spotify",100,50,"e9b64fa0c4544dcca88633e5045174da","2023-03-01"
25,"37i9dQZEVXbKM896FDX8L1","Top 50 - Ireland","Your daily update of the most played tracks right now - Ireland.",241359,"Spotify","spotify:user:spotify",100,50,"4d9bfc4a5d5d4615a0466fdaec9249ef","2023-03-01"
26,"37i9dQZEVXbJ6IpvItkve3","Top 50 - Israel","Your daily update of the most played tracks right now - Israel.",50619,"Spotify","spotify:user:spotify",100,50,"5d68e0fe7e0447e08fa12a2a99b06120","2023-03-01"
27,"37i9dQZEVXbIQnj7RRhdSX","Top 50 - Italy","Your daily update of the most played tracks right now - Italy.",1040505,"Spotify","spotify:user:spotify",100,50,"12b040bcc2814db284acfece6bc68da3","2023-03-01"
28,"37i9dQZEVXbKXQ4mDTEBXq","Top 50 - Japan","Your daily update of the most played tracks right now - Japan.",987327,"Spotify","spotify:user:spotify",100,50,"5076bd4e71df4af38c19868ba9b1cce4","2023-03-01"
29,"37i9dQZEVXbJWuzDrTxbKS","Top 50 - Latvia","Your daily update of the most played tracks right now - Latvia.",14307,"Spotify","spotify:user:spotify",100,50,"fe11c8adfb654ce98c48741bb7e8df99","2023-03-01"
30,"37i9dQZEVXbMx56Rdq5lwc","Top 50 - Lithuania","Your daily update of the most played tracks right now - Lithuania.",25368,"Spotify","spotify:user:spotify",100,50,"7f1b50470ac146eba2edfcf6b1eac88c","2023-03-01"
31,"37i9dQZEVXbKGcyg6TFGx6","Top 50 - Luxembourg","Your daily update of the most played tracks right now - Luxembourg.",7614,"Spotify","spotify:user:spotify",100,50,"607bf2533a91414c91f283c32819e8e4","2023-03-01"
32,"37i9dQZEVXbJlfUljuZExa","Top 50 - Malaysia","Your daily update of the most played tracks right now - Malaysia.",204895,"Spotify","spotify:user:spotify",100,50,"65baff69f6da48ada612b4c8342ac321","2023-03-01"
33,"37i9dQZEVXbO3qyFxbkOE1","Top 50 - Mexico","Your daily update of the most played tracks right now - Mexico.",1609102,"Spotify","spotify:user:spotify",100,50,"dad165da3aca4771ac19c3e1a42df41a","2023-03-01"
34,"37i9dQZEVXbJU9eQpX8gPT","Top 50 - Morocco","Your daily update of the most played tracks right now - Morocco.",30409,"Spotify","spotify:user:spotify",100,50,"6078fa6690974140bfb4cb2f725db666","2023-03-01"
35,"37i9dQZEVXbKCF6dqVpDkS","Top 50 - Netherlands","Your daily update of the most played tracks right now - Netherlands.",908415,"Spotify","spotify:user:spotify",100,50,"bd164245700347aea12ee54ef90d5a25","2023-03-01"
36,"37i9dQZEVXbM8SIrkERIYl","Top 50 - New Zealand","Your daily update of the most played tracks right now - New Zealand.",212354,"Spotify","spotify:user:spotify",100,50,"f90fee34cd784f38a652f303b73dabed","2023-03-01"
37,"37i9dQZEVXbISk8kxnzfCq","Top 50 - Nicaragua","Your daily update of the most played tracks right now - Nicaragua.",16208,"Spotify","spotify:user:spotify",100,50,"cf25cb83457f4fee9a4dd19125fb825d","2023-03-01"
38,"37i9dQZEVXbJvfa0Yxg7E7","Top 50 - Norway","Your daily update of the most played tracks right now - Norway.",527703,"Spotify","spotify:user:spotify",100,50,"71272e255f29425295a944c06d20da01","2023-03-01"
